Job Tiltle,Company Names,Locations
Data Engineer,Centro CDX -,"Maadi, Cairo, Egypt "
Data Center Sales Engineer,Gila Electric -,"New Cairo, Cairo, Egypt "
Data Warehouse Engineer,ITS  -,"Kuwait City, Kuwait "
Data Analytics Engineer,Dar Al Handasah -,"Smart Village, Giza, Egypt "
Data Center Engineer,IDEMIA EGYPT -,"Sheraton, Cairo, Egypt "
Network & Data Engineer -Second Line Support,Confidential -,"Obour City, Cairo, Egypt "
Technical Office Engineer (Data Center),Gila Electric -,"New Cairo, Cairo, Egypt "
Data Center Engineer,Perfect Presentation -,"6th of October, Giza, Egypt "
Data Engineer,Cilantro -,"Maadi, Cairo, Egypt "
Data Engineers / Senior (Multinational Company),Hala Consulting  -,"New Cairo, Cairo, Egypt "
Data Center Network Engineer,Confidential -,"6th of October, Giza, Egypt "
Data Engineer - KSA,Confidential -,"Riyadh, Saudi Arabia "
Senior Data Engineer- Banha,Z2 Data -,"Qalubia, Egypt "
Junior Data Engineer - Benha,Z2 Data -,"Banha, Qalubia, Egypt "
Project Manager - Data Networks (ICT),SABA -,"Heliopolis, Cairo, Egypt "
